Patient,MAGEA9,MAGEA10,MAGEA4,MAGEA8,MAGEA2B,MAGEA13P,MAGEA11,MAGEA6,MAGEA1,MAGEA12,MAGEA3,MAGEA7P,MAGEA4-AS1,MAGEA8-AS1,MAGEA5,MAGEA10-MAGEA5,MAGEA9B,MAGEA2
TCGA-BH-A0B7-11A-34R-A115-07,0,0,0,9,0,0,0,0,0,0,0,3,0,2,0,0,0,0
TCGA-A1-A0SJ-01A-11R-A084-07,0,0,1,3,0,0,0,0,46,1,0,0,0,2,0,0,0,0
TCGA-S3-AA10-01A-21R-A41B-07,0,0,0,5,0,0,0,39,0,0,897,0,0,1,0,0,0,0
TCGA-BH-A0BT-11A-21R-A12P-07,0,3,8,5,0,0,0,0,0,0,1,1,0,3,0,0,1,0
TCGA-AR-A1AJ-01A-21R-A12P-07,0,0,0,7,0,0,4,0,0,1,0,0,0,4,0,0,0,0
TCGA-E9-A244-01A-11R-A169-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-AO-A1KT-01A-11R-A13Q-07,0,0,0,3,0,0,8,0,14,0,1,0,0,1,0,0,0,0
TCGA-E2-A1LK-01A-21R-A14D-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TCGA-E2-A14R-01A-11R-A115-07,0,0,380,0,0,0,0,137,1,0,20,0,26,1,2,0,107,0
TCGA-A7-A5ZW-01A-12R-A29R-07,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCGA-BH-A1FL-01A-11R-A13Q-07,0,1,0,8,0,0,2,0,26,0,0,0,0,0,0,0,0,0
TCGA-A2-A0ST-01A-12R-A084-07,0,1,833,2,2,0,0,883,0,260,186,0,21,2,0,1,233,0
TCGA-E9-A22H-01A-11R-A157-07,0,0,0,5,0,0,1,0,7,0,0,0,0,1,0,0,0,0
TCGA-A1-A0SI-01A-11R-A144-07,0,0,0,11,0,0,0,0,5,4,0,0,0,0,0,1,0,0
TCGA-E2-A15K-01A-11R-A12P-07,1,12,5,5,1,0,264,174,8,86,87,0,0,1,0,0,1,1
TCGA-E2-A15K-06A-11R-A12P-07,0,3,0,2,0,0,8,0,14,59,13,0,0,0,0,0,0,0
TCGA-E9-A1NG-01A-21R-A14M-07,0,0,0,2,0,0,1,0,2,9,0,0,0,1,0,0,0,0
TCGA-AR-A1AW-01A-21R-A12P-07,0,0,0,4,0,0,7,0,0,0,0,0,0,2,0,0,0,0
TCGA-D8-A1JK-01A-11R-A13Q-07,0,13,3187,2457,5,0,5,4063,5,2341,4279,1,15,35,1,2,0,10
TCGA-3C-AALI-01A-11R-A41B-07,0,0,0,3,2,0,2,1546,1,1114,180,0,0,1,0,0,0,5
TCGA-AC-A7VB-01A-11R-A352-07,0,1,0,5,0,0,78,0,1,1,0,0,0,1,0,0,0,0
TCGA-AC-A6NO-01A-12R-A33J-07,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TCGA-BH-A0DO-01B-11R-A12D-07,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-AO-A0JL-01A-11R-A056-07,0,0,0,0,0,0,5,133,0,0,289,0,0,1,0,0,0,0
TCGA-A7-A0CJ-01A-21R-A00Z-07,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,1,0,0
TCGA-E2-A1LH-01A-11R-A14D-07,3,367,978,2,1,0,2,612,0,0,750,0,81,0,2,2,165,1
TCGA-BH-A0DG-11A-43R-A12P-07,0,0,1,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0
TCGA-AO-A03T-01A-21R-A034-07,0,0,0,2,0,0,0,68,11,93,85,0,0,0,0,0,0,0
TCGA-C8-A26Y-01A-11R-A16F-07,1,1135,2862,3,11,0,25,11961,4291,7070,13687,2,50,2,4,4,146,36
TCGA-D8-A1JI-01A-11R-A13Q-07,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
TCGA-BH-A1FM-01A-11R-A13Q-07,0,0,5,7,0,0,16,0,9,11,0,0,0,0,0,0,0,0
TCGA-B6-A0I9-01A-11R-A034-07,1,46,24,29,10,0,1846,9519,5,3254,10342,1,0,8,0,0,0,26
TCGA-AC-A23H-11A-12R-A157-07,1,1,0,8,0,0,0,0,0,0,0,0,0,4,2,1,0,0
TCGA-GM-A2DN-01A-11R-A180-07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TCGA-A7-A13E-11A-61R-A12P-07,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCGA-A7-A13E-01B-06R-A277-07,0,1,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0
TCGA-D8-A142-01A-11R-A115-07,0,424,9882,94,4,0,4,3117,0,2489,3506,0,276,6,0,2,1,8
